Hotel Name,Location,Category,Price Range (PHP/night),Common Amenities,Peak Season Surcharge (%)
Hotel 74,Destination 74,Luxury,9000 - 23000,"WiFi, Pool, Restaurant",50
Hotel 75,Destination 75,Budget,1000 - 3000,"Gym, Beachfront, Spa",10
Hotel 76,Destination 76,Mid-Range,3000 - 8000,"WiFi, Pool, Restaurant",20
Hotel 77,Destination 77,Luxury,5000 - 13000,"Gym, Beachfront, Spa",30
Hotel 78,Destination 78,Budget,7000 - 18000,"WiFi, Pool, Restaurant",40
Hotel 79,Destination 79,Mid-Range,9000 - 23000,"Gym, Beachfront, Spa",50
Hotel 80,Destination 80,Luxury,1000 - 3000,"WiFi, Pool, Restaurant",10
Hotel 81,Destination 0,Budget,3000 - 8000,"Gym, Beachfront, Spa",20
Hotel 82,Destination 1,Mid-Range,5000 - 13000,"WiFi, Pool, Restaurant",30
Hotel 83,Destination 2,Luxury,7000 - 18000,"Gym, Beachfront, Spa",40
Hotel 84,Destination 3,Budget,9000 - 23000,"WiFi, Pool, Restaurant",50
Hotel 85,Destination 4,Mid-Range,1000 - 3000,"Gym, Beachfront, Spa",10
Hotel 86,Destination 5,Luxury,3000 - 8000,"WiFi, Pool, Restaurant",20
Hotel 87,Destination 6,Budget,5000 - 13000,"Gym, Beachfront, Spa",30
Hotel 88,Destination 7,Mid-Range,7000 - 18000,"WiFi, Pool, Restaurant",40
Hotel 89,Destination 8,Luxury,9000 - 23000,"Gym, Beachfront, Spa",50
Hotel 90,Destination 9,Budget,1000 - 3000,"WiFi, Pool, Restaurant",10
Hotel 91,Destination 10,Mid-Range,3000 - 8000,"Gym, Beachfront, Spa",20
Hotel 92,Destination 11,Luxury,5000 - 13000,"WiFi, Pool, Restaurant",30
Hotel 93,Destination 12,Budget,7000 - 18000,"Gym, Beachfront, Spa",40
Hotel 94,Destination 13,Mid-Range,9000 - 23000,"WiFi, Pool, Restaurant",50
Hotel 95,Destination 14,Luxury,1000 - 3000,"Gym, Beachfront, Spa",10
Hotel 94,Destination 13,Mid-Range,11000 - 28000,"WiFi, Pool, Restaurant",50

